"Valor esperado: 10, Valor atual: 0"
"Valor esperado: 100, Valor atual: 0"
"Valor esperado: true, Valor atual: false"
"Valor esperado: test, Valor atual: null"
"Os objetos não são simétricos"
"O resultado esperado é ABCDEF, mas o resultado atual é diferente"
"O valor esperado é uma string vazia"
"O resultado esperado é Hello World ~~~~, mas o resultado atual é diferente"
"O resultado esperado é Hello World ~, mas o resultado atual é diferente"
"O resultado esperado é Hello, mas o resultado atual é diferente"
"O resultado esperado é **Hello, mas o resultado atual é diferente"
"O resultado esperado é \\**Hello**, mas o resultado atual é diferente"
"O resultado esperado é Hello, mas o resultado atual é diferente"
"O resultado esperado é Hello, mas o resultado atual é diferente"
"O resultado esperado é *Hello, mas o resultado atual é diferente"
"O resultado esperado é _Hello, mas o resultado atual é diferente"
"O resultado esperado é *Hello, mas o resultado atual é diferente"
"O resultado esperado é _Hello, mas o resultado atual é diferente"
"O resultado esperado é \\*Hello*, mas o resultado atual é diferente"
"O resultado esperado é \\_Hello_, mas o resultado atual é diferente"
"O resultado esperado é Hello, mas o resultado atual é diferente"
"O resultado esperado é ***Hello, mas o resultado atual é diferente"
"O resultado esperado é Hello, mas o resultado atual é diferente"
"O resultado esperado é __Hello, mas o resultado atual é diferente"
"O resultado esperado é \\__Hello__, mas o resultado atual é diferente"
"O resultado esperado é Hello, mas o resultado atual é diferente"
"O resultado esperado é ~~Hello, mas o resultado atual é diferente"
"O resultado esperado é \\~~Hello~~, mas o resultado atual é diferente"
"O resultado esperado é Hello, mas o resultado atual é diferente"
"O resultado esperado é ||Hello, mas o resultado atual é diferente"
"O resultado esperado é \\||Hello||, mas o resultado atual é diferente"
"O resultado esperado é Hello, mas o resultado atual é diferente"
"O resultado esperado é `Hello, mas o resultado atual é diferente"
"O resultado esperado é \\`Hello`, mas o resultado atual é diferente"
"O resultado esperado é `Hello World, mas o resultado atual é diferente"
"O resultado esperado é \\`Hello World`, mas o resultado atual é diferente"
"O resultado esperado é Hello, mas o resultado atual é diferente"
"O resultado esperado é **A_B||C~~D__E`F`__~~||_**, mas o resultado atual é diferente"
"O resultado esperado é **Hello, mas o resultado atual é diferente"
"O resultado esperado é **Hello, mas o resultado atual é diferente"
"O resultado esperado é *Hello*, mas o resultado atual é diferente"
"O resultado esperado é _Hello_, mas o resultado atual é diferente"
"O resultado esperado é *Hello, mas o resultado atual é diferente"
"O resultado esperado é _Hello, mas o resultado atual é diferente"
"O resultado esperado é ***Hello***, mas o resultado atual é diferente"
"O resultado esperado é ***Hello, mas o resultado atual é diferente"
"O resultado esperado é \\***Hello***, mas o resultado atual é diferente"
"O resultado esperado é __Hello__, mas o resultado atual é diferente"
"O resultado esperado é __Hello, mas o resultado atual é diferente"
"O resultado esperado é ~~Hello~~, mas o resultado atual é diferente"
"O resultado esperado é ||Hello||, mas o resultado atual é diferente"
"O resultado esperado é ||Hello, mas o resultado atual é diferente"
"O resultado esperado é `Hello`, mas o resultado atual é diferente"
"O resultado esperado é `Hello, mas o resultado atual é diferente"
"O resultado esperado é `Hello **World**`, mas o resultado atual é diferente"
"O resultado esperado é `Hello **World**, mas o resultado atual é diferente"
"O resultado esperado é ``Hello``, mas o resultado atual é diferente"
"O resultado esperado é ``Hello, mas o resultado atual é diferente"
"O resultado esperado é ``Hello **World**``, mas o resultado atual é diferente"
"O resultado esperado é ``Hello **World**, mas o resultado atual é diferente"
"O resultado esperado é ``Hello `to` World``, mas o resultado atual é diferente"
"O resultado esperado é ``Hello `to` World, mas o resultado atual é diferente"
"O resultado esperado é ```Hello```, mas o resultado atual é diferente"
"O resultado esperado é ```Hello, mas o resultado atual é diferente"
"O resultado esperado é ```Hello **World**```, mas o resultado atual é diferente"
"O resultado esperado é ```Hello **World**, mas o resultado atual é diferente"
"O resultado esperado é ```Hello `to` World```, mas o resultado atual é diferente"
"O resultado esperado é ```Hello `to` World, mas o resultado atual é diferente"
"O resultado esperado é ```java\nTest```, mas o resultado atual é diferente"
"O resultado esperado é > Hello > World, mas o resultado atual é diferente"
"O resultado esperado é > Hello\n> World, mas o resultado atual é diferente"
"O resultado esperado é Hello\nWorld, mas o resultado atual é diferente"
"O resultado esperado é Hello\nWorld, mas o resultado atual é diferente"
"O resultado esperado é Hello\nWorld, mas o resultado atual é diferente"
"O resultado esperado é **A_B||C~~D__E`F`__~~||_**, mas o resultado atual é diferente"
"O resultado esperado é **Hello**, mas o resultado atual é diferente"
